Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1913,692.88,1345.08,512.08,260.54,1287.28,539.08,388.46,1200.29,1021.66,941.65,1251.97,1175.79,1812.68,519.29,889.80,1073.33,754.67,580.27,1203.29,1514.89,1040.95,1018.07,1077.23,730.68,663.68,1455.07,928.85,389.04,510.66,293.17,963.02,1182.48,343.76,1013.94,1284.00,361.27,1069.57,834.46,728.31,1111.00,1161.49,1234.87,418.73,1224.25,743.38,324.10,949.75,1100.57,937.76,1292.58,813.05,334.45
1914,677.67,1163.17,506.19,374.43,1046.29,639.88,473.89,1003.61,939.39,864.70,1311.02,1187.56,2549.23,431.60,725.60,808.43,801.94,569.96,1069.58,1271.30,914.80,922.65,975.98,764.63,692.27,1186.97,876.49,388.71,519.63,243.82,889.74,1010.65,456.24,941.90,1151.43,483.93,913.29,703.79,694.56,979.34,1008.84,1112.78,514.20,1124.54,805.97,332.70,866.71,945.87,979.59,1051.41,831.91,280.04
1915,759.13,1361.21,530.34,372.88,1301.69,650.27,493.58,1188.82,1096.95,1040.54,1436.30,1267.03,1912.15,491.12,1041.24,1054.89,1006.02,993.72,1305.01,1317.52,1003.33,1110.14,1132.70,773.30,699.44,1367.75,1235.01,497.29,833.17,234.57,1015.98,1201.79,394.53,1054.23,1209.05,501.70,1040.50,1135.06,739.13,1107.07,1113.87,1241.64,660.69,1350.17,687.67,337.14,950.68,1036.84,1050.34,1146.26,842.98,448.03
1916,688.75,1247.21,549.70,366.85,1036.37,653.21,425.33,1052.92,1025.02,974.84,1199.19,1077.46,2419.76,521.55,913.33,1008.25,738.53,567.87,1205.81,1243.38,1090.74,1035.49,1099.45,863.87,704.16,1261.49,953.93,492.52,478.90,264.53,1080.16,959.00,364.31,991.69,1140.37,507.87,975.83,718.50,809.17,1045.81,1136.46,1061.80,486.37,1269.17,540.61,369.87,978.06,1015.53,1073.59,1192.84,869.61,307.99
1917,603.84,1332.72,523.75,260.70,997.97,346.32,353.75,979.23,1163.48,982.02,1141.91,1165.55,1828.20,447.77,808.96,934.78,705.00,496.67,1188.47,999.66,1168.38,1078.38,1047.85,705.67,510.31,1150.66,819.15,355.50,515.95,196.79,1007.74,1061.92,211.59,1013.48,1265.07,274.10,958.65,588.60,683.60,1013.36,1073.58,1063.43,396.47,1302.83,366.91,271.33,981.64,1062.12,986.64,1140.23,709.55,312.80
1918,685.60,1377.14,561.05,331.62,1101.01,487.14,458.54,1006.95,954.76,1000.63,1318.27,1229.59,2872.99,424.49,965.79,1014.55,824.59,696.23,1082.10,1294.15,1146.72,1010.72,1020.83,776.31,609.47,1247.45,961.09,367.53,565.33,280.79,1041.70,962.28,344.62,1025.01,1206.92,386.35,933.52,855.44,606.37,1024.07,1019.15,1145.77,498.23,1223.50,610.94,333.40,1090.15,1128.07,958.05,1217.78,752.40,385.77
1919,736.27,1632.66,516.19,394.98,1347.98,445.11,443.85,1277.62,1355.72,1161.79,1485.73,1353.99,1235.94,393.71,932.04,961.92,928.13,660.70,1310.27,1719.48,991.60,1237.02,1194.42,780.17,702.61,1727.90,1020.50,285.10,601.26,192.19,1012.87,1363.48,454.28,1003.16,1171.98,389.37,1027.20,860.81,764.95,1127.34,1303.96,1132.89,495.22,1410.84,958.87,277.65,979.44,1114.57,1002.93,1260.19,843.89,273.45
1920,721.51,1614.40,499.06,308.08,1356.89,534.66,426.32,1364.57,1247.72,1169.50,1440.63,1491.84,1728.34,459.27,817.52,922.95,789.12,685.18,1224.97,1544.80,1221.61,1199.64,1336.61,757.26,639.95,1563.97,973.40,382.45,612.43,241.98,1277.05,1278.60,332.03,1024.59,1384.13,388.54,967.91,923.84,725.47,1049.62,1359.23,1301.15,570.34,1441.39,710.68,369.64,1188.90,1195.15,1038.66,1166.66,759.77,347.71
1921,674.53,1166.24,515.97,349.79,1206.73,547.97,456.66,1078.86,877.05,899.85,1171.25,1060.48,1994.91,488.04,1023.12,1159.46,818.70,597.39,1272.20,1225.44,871.36,950.96,1089.41,821.60,589.89,1237.20,1101.86,377.27,504.07,242.41,959.75,982.60,369.54,912.00,1070.13,457.44,1102.86,741.55,758.06,1042.98,1105.66,1069.87,460.30,1284.48,571.32,361.77,887.01,925.24,1151.86,1183.99,773.22,328.00
1922,704.64,1479.62,543.15,300.07,1148.87,598.95,371.13,1110.79,1059.54,1105.38,1475.24,1395.98,1856.51,425.63,864.94,979.53,771.54,688.01,1214.88,1632.68,998.37,1056.91,1182.59,825.54,599.37,1484.60,986.00,399.27,506.31,287.97,1111.32,1014.96,240.67,986.72,1455.61,479.60,959.83,847.87,668.60,907.83,1203.00,1449.11,481.66,1388.60,667.13,348.11,1031.94,1166.20,816.63,1114.72,790.18,345.28
